Club name,Country,League,Total Market Value (in M),Squad size,Average age,Number of national team players
Aljustrelense,Portugal,Taça de Portugal Placard,,9,26.7,5
Alki Larnaca,Cyprus,Protathlima Cyta,,0,,
Alki Oroklini,Cyprus,Kypello Kyprou,878,28,26.4,11
All Boys,Argentina,Primera Nacional,3.01,26,25.6,1
Alloa Athletic,Scotland,Scottish League One,585,23,26.5,3
Almagro,Argentina,Copa de la Liga Profesional de Fútbol,23.45,25,26.3,4
Almahalla Tripoli,Libya,,158,2,25.0,2
Almancilense,Portugal,,,6,27.8,3
Almere City Am.,Netherlands,,,0,,
Almere City,Netherlands,Keuken Kampioen Divisie,5.74,30,23.8,8
Almirante Brown,Argentina,Primera Nacional,2.94,34,28.2,1
Alphense Boys,Netherlands,Hoofdklasse A Sunday,45,21,22.5,2
Alqueries,Spain,,,0,,
Alta de Lisboa,Portugal,,,11,28.2,4
Altamura,Italy,Serie D - Girone H,972,24,22.9,7
Altay SK,Turkey,Süper Lig,14.45,27,28.1,13
Altinordu,Turkey,1.Lig,4.41,26,23.7,2
Altrincham,England,National League,90,25,27.3,3
Alzano Virescit,,,,,,
Amarante,Portugal,Taça de Portugal Placard,113,12,27.4,3
Amares,Portugal,Taça de Portugal Placard,,11,29.1,1
Ambassadors FC,Czech Republic,,,1,23.0,0
Ambrosiana,Italy,Serie D - Girone C,855,32,21.7,6
Americano,Brazil,,,3,26.0,0
Amica Wronki,Poland,,,0,,
Amiens SC,France,Ligue 2,20.34,26,24.9,12
Amkar Perm,Russia,Russian FNL-2 Group 4,3.51,25,24.3,0
Amkar-Junior,Russia,,,1,20.0,0
Amnéville,France,Coupe de France,,28,26.2,3
Amora FC,Venezuela,Liga de Fútbol Profesional Venezolano,3.94,35,23.3,3
Amur-2010,Russia,1.Division,,0,,
Amurrio Club,Spain,Segunda División B - Grupo II (till 20/21),113,7,22.6,1
América FC-SP,Brazil,,,1,41.0,0
América,United States,World Cup qualification CONCACAF,186.62,24,24.5,11
América-MG,Brazil,Copa Libertadores,16.88,33,28.1,4
América-RJ,Brazil,,,2,31.5,0
América-RN,Brazil,Copa do Nordeste - Fase preliminar,,30,26.1,0
Anadia FC,Portugal,Taça de Portugal Placard,1.62,30,26.4,6
Anag. Karditsas,Greece,Super League 2,5.06,32,27.1,9
Anag.Epanomis,Greece,Football League,90,5,29.4,0
Anagen.Derynias,Cyprus,Protathlima Cyta,833,25,27.0,12
Anagni,Italy,Serie D - Girone G,135,19,23.7,1
Ancona Calcio,Italy,,,0,,
Ancona Youth,,,,,,
Anderlecht Yth.,Belgium,,,12,15.0,0
Andria,Italy,Serie B,9.99,28,26.6,2
Andrézieux,France,Championnat National 2 - Groupe D,360,29,24.5,7
Angered United,,,,,,
Angoulême CFC,France,Championnat National 2 - Groupe D,540,34,25.3,4
Angra-RJ,Brazil,,,8,31.0,0
Ankaragücü,Turkey,1.Lig,6.62,28,27.1,9
Annan Athletic,Scotland,Scottish League Two,23,20,25.2,6
Annecy FC,France,Championnat National,6.17,24,26.6,3
Anorthosis,Cyprus,Protathlima Cyta Championship Round,11.25,30,27.3,16
Antalyaspor,Turkey,Süper Lig,27.27,30,27.1,15
Anyang LG Cheeta,,,,,,
Anzhi Makhachkala,Russia,Russian FNL-2 Group 1,2.05,23,20.6,0
Anzhi-Yunior,Russia,Russian FNL-2 Group 4,,0,,
Anápolis-GO,Brazil,Copa do Brasil,225,17,21.9,0
Aparecida,Brazil,,,6,33.5,0
Aparecidense-GO,Brazil,Campeonato Goiano,540,33,27.2,0
Apejes FC,Cameroon,,113,7,23.1,1
Apol. Kalamarias,,,,,,
Apol. Limassol,Cyprus,Protathlima Cyta Championship Round,13.73,33,25.8,21
Apollon Athens,,,,,,
Apollon Pontou,Greece,Super League 2,2.14,21,25.7,8
Apollon Smyrnis,Greece,Super League 1,7.20,32,28.7,20
Aquidauanense,Brazil,,,17,26.8,0
Araks Ararat,Armenia,UEFA Champions League Qualifying,,0,,
Arapongas,Brazil,,,0,,
Ararat Moskau,Russia,Russian FNL-2 Group 3,,0,,
Ararat Yerevan,Armenia,Bardzragujn khumb,2.55,25,25.5,11
Ararat-Armenia,Armenia,Bardzragujn khumb,5.49,25,26.0,16
Araçatuba,Brazil,,,0,,
Arbroath,Scotland,Scottish Championship,2.77,21,29.0,4
Arda Kardzhali,Bulgaria,efbet Liga,4.73,24,24.3,3
Ards FC,South Africa,Nedbank Cup,2.05,29,26.0,4
Arema,Indonesia,Liga 1 Indonesia,3.74,32,25.6,4
Arenas Club,Spain,Segunda División R.F.E.F. - Grupo II,1.91,21,25.1,0
Arezzo,Italy,Serie D - Girone E,1.48,28,23.7,3
Argentina,Argentina,World Cup qualification South America,519.03,33,25.6,31
Argentinos Jrs.,Argentina,Copa de la Liga Profesional de Fútbol,22.39,26,24.8,3
Arges Pitesti,Romania,Liga II - Seria II,,9,27.3,0
Aris Bonneweg,Luxembourg,UEFA Cup Winners' Cup,,0,,
Aris Limassol,Cyprus,Protathlima Cyta Championship Round,12.20,30,26.9,22
Aris Saloniki,Greece,Super League 1 Play-off,21.83,33,27.9,25
Arizona United,,,,,,
Arka Gdynia,Poland,Fortuna 1 Liga,3.08,29,24.9,5
Arka Nowa Sol,Poland,,,2,22.0,0
Arm. Bielefeld,Germany,Bundesliga,50.18,25,24.8,16
Armacenenses,Portugal,Taça de Portugal Placard,,1,21.0,0
Arminia Bielefeld,Germany,Bundesliga,50.18,25,24.8,16
Arnett Gardens,Jamaica,Jamaica Premier League,,27,24.9,0
Arnold Town,England,,,2,37.0,0
Arrifanense,Portugal,,,0,,
Arrone Calcio,Italy,,,1,26.0,1
Arsenal FC,England,Premier League,459.90,21,24.6,14
Arsenal Kyiv,Ukraine,Premier Liga - Abstiegsrunde,,0,,
Arsenal Res.,,,,,,
Arsenal Sarandí,Argentina,Copa Argentina,9.77,26,25.8,4
Arsenal Tula,Russia,Premier Liga,22.46,25,27.9,7
Arsenal-2 Tula,Russia,Russian FNL-2 Group 3,2.12,26,20.4,0
Artmedia Brat.,,,,,,
Arzachena,Italy,Serie D - Girone G,819,24,23.4,2
Arzignano,Italy,Serie D - Girone C,1.51,24,23.3,4
Asane Fotball,Norway,NM-Cup,1.94,21,26.6,1
Asante Kotoko,Ghana,Ghana Premier League,2.30,30,23.6,3
Aschaffenburg,Germany,Regionalliga Bayern,1.28,25,25.6,1
Ascoli Calcio 1898,Italy,Serie B,13.50,29,26.3,8
Ashford Town FC,,,,,,
Ashington AFC,England,,,7,29.7,1
Ashton United,England,,,24,27.0,4
Asmaral Moskau,Russia,Premier Liga,,0,,
Association Troyes Aube Champagne,,,,,,
Assyriska FF,Sweden,Ettan Norra,68,33,26.8,7
Asteras Tripoli,Greece,Super League 1,7.47,30,24.9,18
Aston Villa Res.,,,,,,
Aston Villa,England,Premier League,383.85,21,26.5,12
Astra Giurgiu,Romania,Liga 2,1.44,34,22.3,3
Astra Ploiesti,Romania,Liga 2,1.44,34,22.3,3
Astrea,Italy,Serie D - Girone G,,8,32.3,0
At. Arcos,Portugal,,,5,28.6,1
Ataka Minsk,Belarus,Vysheyshaya Liga,,0,,
Atalanta BC,Italy,Serie A,346.41,25,27.1,18
Athletic Bilbao,Spain,LaLiga,171.54,25,26.3,0
Athletico-PR,Brazil,Campeonato Paranaense,57.60,27,25.1,6
Athlétic Club Arlésien,France,Ligue 2,23,4,25.3,2
Atl Castagneto,Italy,,68,13,26.3,1
