Club name,Country,League,Total Market Value (in M),Squad size,Average age,Number of national team players
Atl. Baleares,Spain,Primera División R.F.E.F. - Grupo II,5.00,24,28.3,5
Atl. Colegiales,Paraguay,Copa Libertadores,45,3,29.7,0
Atl. Kolkata,,,,,,
Atl. Levante,Spain,Segunda División R.F.E.F. - Grupo V,3.96,26,20.8,5
Atl. Madrid,Spain,Segunda División B - Fase de descenso,1.53,22,20.6,2
Atl. Marbella,Spain,LaLiga2,,0,,
Atl. Nacional,Colombia,Liga Dimayor I,20.36,27,26.2,1
Atl. Reguengos,Portugal,Taça de Portugal Placard,,6,34.8,0
Atl. Venezuela,Venezuela,Liga de Fútbol Profesional Venezolano,1.42,17,24.1,0
Atl.Aradeo,Italy,,,0,,
Atlantas,Lithuania,A Lyga - Championship Round,,0,,
Atlante,Mexico,Liga de Expansión MX Clausura,7.11,33,25.0,4
Atlas,Mexico,Liga MX Clausura,39.11,24,25.8,10
Atlco. Aviación,,,,,,
Atletico Arad,Romania,,,3,24.0,0
Atletico Catania,Italy,Play-out Serie C,,1,39.0,0
Atletico Celaya,,,,,,
Atletico Roma,Italy,Play-off Serie C,,0,,
Atletico Uri,Italy,Serie D - Girone G,743,25,23.6,5
Atletico de Conakry,Guinea,,,3,23.7,0
Atlético CP,Portugal,Taça de Portugal Placard,,20,28.6,3
Atlético Celaya,,,,,,
Atlético Ceuta,,,,,,
Atlético Colombia,Colombia,,,0,,
Atlético Huila,Colombia,Torneo DIMAYOR I,3.47,29,22.3,0
Atlético Madrid,Spain,UEFA Champions League,581.85,22,28.3,19
Atlético de Madrid,Spain,UEFA Champions League,581.85,22,28.3,19
Atlético-GO,Brazil,Campeonato Goiano,12.56,24,25.7,2
Atlético-MG,Brazil,Campeonato Mineiro,101.93,33,26.8,7
Atlético-PR,,,,,,
Atoladinhos,Portugal,,,1,36.0,0
Atromitos Athen,Greece,Super League 1,11.72,29,26.5,12
Atyrau,Kazakhstan,Premier Liga,3.56,25,25.8,12
Aubagne,France,Championnat National 2 - Groupe C,653,31,26.9,7
Aubervilliers,France,Coupe de France,90,27,27.6,4
Auckland City,New Zealand,New Zealand Northern League,4.39,31,24.0,8
Audax Italiano,Chile,Primera División de Chile,8.21,35,24.8,7
Aurora Seriate,Italy,Serie D - Girone B,,0,,
Aurore Bienne,Switzerland,,,16,28.7,8
Aurrera,Spain,,,9,24.1,0
Austin,United States,Major League Soccer,27.72,26,26.0,16
Austria Kärnten,Austria,Bundesliga,,0,,
Austria Vienna,Austria,Bundesliga,17.26,33,23.0,10
Austria/VSV,,,,,,
Avanca,Portugal,,,5,23.2,1
Avangard Kursk,Russia,Russian FNL-2 Group 3,3.02,31,23.1,0
Avangard Laz.,Russia,,,0,,
Avangard P.,Russia,Russian Cup,,0,,
Avaí FC,Brazil,Campeonato Catarinense,8.66,29,28.4,2
Avellino,Italy,Serie C - Girone C,4.76,24,27.3,3
Aversa Norm.,,,,,,
Avezzano,Italy,Serie D - Girone F,23,20,25.4,2
Avispa Fukuoka,Japan,J1 League,11.54,31,26.8,4
Avtodor Vl.,Russia,Russian Cup,,1,33.0,0
Avtozapchast,Russia,Russian Cup,,0,,
Ayamonte CF,Spain,,,10,25.1,3
Aylesbury Utd.,England,,,3,21.0,1
Ayr United,Scotland,Scottish Championship,3.24,24,24.0,10
B. Banja Luka,Bosnia-Herzegovina,Kup BIH,4.28,27,23.9,11
B. Dortmund,Germany,UEFA Youth League,15.26,30,17.6,6
B. Jerusalem,Israel,Ligat ha'Al,8.62,25,25.4,5
B. Podgorica,Montenegro,Telekom 1. CFL,3.74,21,25.9,0
B. SAD,Portugal,Liga Revelação U23 - Qualifikation round,1.80,37,20.1,5
B. a Buggiano,Italy,Lega Pro Seconda Divisione - Girone B,,3,22.3,0
B.93,Denmark,2.Division,698,29,21.5,2
B36 Tórshavn,Faroe Islands,Betri-deildin,1.20,23,24.1,3
BATE Borisov,Belarus,Belarusian Cup,7.31,24,23.9,7
BB Ankaraspor,,,,,,
BB Erzurumspor,Turkey,1.Lig,5.87,28,27.7,10
BEJUNE,Switzerland,Swiss U18 Elite League,,29,16.7,8
BFC Dynamo,Germany,Regionalliga Nordost,1.94,27,26.4,3
BFC Siófok,Hungary,Nemzeti Bajnokság II.,1.80,27,24.0,1
BG Laubsdorf,Germany,Brandenburgliga,,0,,
BG Pathum Utd.,Thailand,Thai League Cup,5.78,31,28.9,5
BJ Enterprises,,,,,,
BJ Guoan,China,Chinese Super League,6.82,32,26.6,2
BJ Renhe,China,,,0,,
BK Frem,Denmark,1.Division,3.17,24,23.4,1
BK Skjold,Denmark,Sydbank Pokalen,,27,25.3,1
BSC Erlangen,Germany,DFB-Pokal,,2,24.5,0
BSC Old Boys,Switzerland,2. Liga interregional - Gruppe 3,,31,24.9,13
BSC Young Boys,Switzerland,Super League,49.03,28,24.7,10
BSK Borca,Serbia,Prva liga Srbije,113,22,21.1,0
BSV Brandenburg,Germany,Landespokal Brandenburg,,32,25.2,4
BSV Rehden,Germany,Regionalliga Nord Playoffs,1.02,24,25.4,12
BV Cloppenburg,Germany,Landesliga Weser-Ems,,3,,1
BVSC,Hungary,Magyar Kupa,225,20,25.6,0
BW Berlin,Germany,NOFV-Oberliga Nord,,27,24.0,6
Babelsberg 03,Germany,Regionalliga Nordost,1.09,27,23.6,3
Babite,Latvia,1.Liga,,10,20.9,0
Backa,Serbia,Super liga Srbije,7.92,28,24.8,6
Bacup Borough FC,England,,,0,,
Bad Bleiberg,Austria,2. Liga,,1,27.0,0
Bad Kreuznach,Germany,Verbandsliga Südwest,,24,25.1,5
Badgers,United States,,,5,22.4,4
Baesweiler 09,Germany,,,4,35.7,2
Bagheria,Italy,,,0,,
Baikal Irkutsk,Russia,1.Division,,2,21.0,1
Bakirköyspor,Turkey,Türkiye Kupasi,,7,23.6,1
Baladeya,,,,,,
Baldor Bermeo,Ecuador,,,5,25.8,0
Balikesirspor,Turkey,1.Lig,1.49,30,25.0,9
Ballymena,Northern Ireland,Danske Bank Premiership,1.46,28,25.1,6
Baltika Kaliningrad,Russia,1.Division,8.33,25,26.0,4
Bamber B.,,,,,,
Bamber Bridge,England,,270,18,24.7,2
Banants,Armenia,Bardzragujn khumb,4.64,26,23.7,9
Banbury,England,FA Cup,,20,23.6,2
Bandirmaspor,Turkey,1.Lig,6.03,27,26.0,10
Bangkok Utd.,Thailand,Thai League Cup,5.54,32,25.9,5
Bangor City,Wales,Welsh Cup,41,3,26.3,2
Bangu-RJ,Brazil,Campeonato Carioca - Taça Guanabara,360,40,22.6,0
Banik Ostrava,Czech Republic,Fortuna Liga,10.08,26,25.7,6
Bankstown City,Australia,,,17,32.3,2
Banska Bystrica,Slovakia,II. Liga,2.78,25,25.1,0
Barakaldo CF,Spain,Segunda División B - Fase de descenso,428,19,25.3,0
Baraúnas-RN,Brazil,,,2,32.5,0
Barcelona EC,Ecuador,Copa Libertadores,14.45,25,27.4,7
Barcelona SC,Ecuador,Copa Libertadores,14.45,25,27.4,7
Bardejov,Slovakia,II. Liga,1.65,23,23.8,5
Bardolino,Italy,,,3,31.0,1
Barendrecht,Netherlands,Hoofdklasse A Saturday,405,25,28.2,3
Barking,England,,,9,33.9,0
Barletta CS,,,,,,
Barnet,England,National League,720,25,24.2,5
Barnsley FC,England,Championship,25.70,24,23.0,13
Barnstaple Town,England,,,4,28.3,1
Baronie,Netherlands,Hoofdklasse B Sunday,68,28,24.9,0
Barra FC (SC),,,,,,
Barra FC,Brazil,Campeonato Catarinense,1.08,27,25.9,0
Barracas C.,Argentina,Copa de la Liga Profesional de Fútbol,5.45,31,27.3,3
Barreirense,Portugal,Taça de Portugal Placard,212,19,25.5,6
Barrow,England,League Two,2.72,28,26.2,8
Barry Town,Wales,Cymru Premier Relegation Conference,842,21,26.0,3
Barton Rovers,England,,,8,28.5,0
Barueri,Brazil,,,1,37.0,0
Barça U16,,,,,,
Basaksehir,Turkey,Süper Lig,52.97,28,28.0,11
Basingstoke,England,FA Cup,,16,29.8,1
Bassano,Italy,Play-off Serie C,320,22,23.7,5
Bastia-Borgo,France,Championnat National,5.22,28,25.9,7
Bataisk-2007,Russia,Russian Cup,,2,39.0,0
Bath City,England,National League South,428,22,25.2,3
Battipagliese,Italy,Serie D play-out,,3,28.0,0
Batuque,Cape Verde,,225,3,31.3,0
Bay. Leverkusen,Germany,Bundesliga,375.71,27,24.7,20
Bay. Uerdingen,,,,,,
Bayer 04 Leverkusen,Germany,Bundesliga,375.71,27,24.7,20
Bayer 05 Uerdingen,Germany,Regionalliga West,1.06,27,22.6,9
Bayern Munich,Germany,Bundesliga,733.73,26,25.7,14
Bayonne,France,Coupe de France,,25,27.9,3
Be Quick '28,Netherlands,KNVB beker,,14,24.5,0
Be Quick 1887,Netherlands,Hoofdklasse A Sunday,,28,22.4,1
Beauvais,France,Championnat National 2 - Groupe B,1.40,30,27.0,4
Becej,Serbia,Prva liga Srbije,293,18,24.4,0
Beckumer SV,Germany,Landespokal Westfalen,,21,26.8,6
Bedford Town,England,,,15,28.2,2
Beerschot AC,Belgium,Jupiler Pro League Abstiegs-Playoffs,,0,,
Beerschot V.A.,Belgium,Jupiler Pro League,15.21,27,25.4,15
Beitar Tel Aviv,Israel,Liga Leumit,2.88,29,21.3,3
Beja,Tunisia,Ligue Professionnelle 1,3.87,32,24.5,4
Belenenses SAD,Portugal,Liga Portugal,13.61,28,24.8,14
Belgrano,Argentina,Primera Nacional,4.76,23,28.7,0
Bella Vista,Uruguay,Liga de Ascenso Profesional,158,18,29.2,0
Bellaria IM,Italy,Serie D - Girone D,23,7,21.9,0
Bellm. Hiratsuka,,,,,,
Belluno,Italy,,,10,25.3,0
Belshina,Belarus,Pershaya Liga,1.96,22,25.3,5
Beltinci,Slovenia,Druga Liga,1.03,25,21.4,1
Belvedere FC,England,,,7,32.1,1
Ben Hur,Argentina,,45,7,30.9,0
Bendel Ins.,Nigeria,Nigeria Professional Football League,,16,,0
Beneditense,Portugal,Taça de Portugal Placard,,1,30.0,0
Benevento Calcio,Italy,Serie B,26.26,27,26.4,7
Benfica Luanda,Angola,,,3,37.0,1
Bengaluru FC,India,Indian Super League,4.61,33,25.2,7
Benidorm,Spain,,,10,25.4,5
Bento Gonçalves,Brazil,Campeonato Brasileiro Série D,,11,29.8,0
Berekum Arsenal,Ghana,Ghana Premier League,45,8,29.8,0
Bergerac,France,Championnat National 2 - Groupe D,315,26,26.1,2
Berkum,Netherlands,Hoofdklasse B Saturday,,23,27.8,1
Berliner AK,Germany,Regionalliga Nordost,1.96,35,24.0,13
Bermuda Hogges,Bermuda,,,1,33.0,0
Beroe,Bulgaria,efbet Liga,5.11,21,26.8,11
Berço,Portugal,Taça de Portugal Placard,,21,22.5,8
Besançon RC,,,,,,
Besiktas,Turkey,Süper Lig,97.09,34,26.7,17
Betis Deportivo,Spain,Primera División R.F.E.F. - Grupo II,4.59,22,21.8,6
Biancavilla,Italy,Serie D - Girone I,284,29,22.7,6
Bidvest Wits FC,South Africa,DStv Premiership,,0,,
Biellese,Italy,Italy Cup,279,21,25.0,1
Bihor Oradea,Romania,Liga II - Seria II,,0,,
Bilbao Athletic,Spain,Primera División R.F.E.F. - Grupo I,9.32,26,21.2,2
Billericay,England,National League South,113,27,26.2,6
Billingham Syn.,England,,,5,26.2,0
Biolog,Russia,Russian FNL-2 Group 1,1.89,23,22.3,0
Birkenfeld,Germany,Landespokal Baden,,24,27.5,7
Birkirkara FC,Malta,Maltese FA Trophy,3.10,23,27.6,13
Birmingham City,England,Championship,32.67,21,27.3,11
Bisceglie,Italy,Serie D - Girone H,770,27,25.0,7
Bishop Auckland,England,,,10,26.4,1
Bishop's St.,England,FA Cup,90,28,27.4,1
Bitonto,Italy,Serie D - Girone H,1.66,24,25.4,2
Bitton AFC,England,,,4,33.0,0
Black Aces,South Africa,,,9,31.4,1
Black Stars,Switzerland,Promotion League,1.37,28,22.7,15
Blackburn Res.,,,,,,
Blackburn Rovers,England,Championship,43.02,26,24.3,10
Blackpool FC,England,Championship,11.75,28,25.6,5
Blackpool Mechanics,England,,,2,33.0,0
Blauw-Wit,Netherlands,Keuken Kampioen Divisie,,9,35.8,0
Blekitni,Poland,3 Liga - Group II,,33,21.5,0
Blois Foot 41,France,Championnat National 2 - Groupe A,,22,25.8,4
Bluebell United,Ireland,EA Sports League of Ireland Cup,,24,30.1,0
Blumenau-SC,Brazil,,23,3,30.7,1
Blumenthaler SV,Germany,Bremenliga,,25,23.8,4
Blyth Spartans,England,National League North,90,26,26.1,4
Bnei Sakhnin,Israel,Ligat ha'Al,4.59,25,27.2,7
Bnei Yehuda,Israel,Liga Leumit,3.78,26,25.8,2
Boa Esporte,Brazil,Campeonato Brasileiro Série D,,7,24.6,0
Boavista FC,Portugal,Liga Portugal,26.01,27,25.0,17
Boavista SC,Brazil,Campeonato Carioca - Taça Guanabara,428,30,24.0,1
Boca Juniors,Argentina,Copa de la Liga Profesional de Fútbol,89.73,32,25.8,7
Bocognano,France,,,10,29.0,0
Bodens BK,Sweden,Ettan Norra,,22,24.4,6
Bodø/Glimt,,,,,,
Bogliasco,Italy,,,5,22.8,1
Bognor Regis,England,,,13,25.3,1
Bohemians 1905,Czech Republic,Fortuna Liga,7.00,31,26.7,3
Bohemians Praha,Czech Republic,Fortuna Liga,7.00,31,26.7,3
Bohemians,Czech Republic,Fortuna Liga,7.00,31,26.7,3
Bologna FC 1909,Italy,Serie A,131.40,29,25.8,20
Bolton Wanderers,England,League One,5.06,28,26.3,15
Boluspor,Turkey,1.Lig,6.86,29,24.3,7
Bolívar,Bolivia,Copa Libertadores,10.28,27,24.3,6
Bonner SC,Germany,Regionalliga West,1.31,26,24.7,8
Boom FC,Belgium,Beker van Belgie,,0,,
Bor. Dortmund,Germany,Bundesliga,518.63,31,25.0,18
Bor. M'gladbach,Germany,Bundesliga,213.57,26,25.7,13
Borac Cacak,Serbia,Kup Srbije,509,21,21.7,1
Boreham Wood,England,National League,45,25,27.5,5
Borgomanero,Italy,,122,10,25.6,3
Borgorosso,Italy,,,4,22.8,0
Borgosesia,Italy,Serie D - Girone A,756,25,21.2,2
Boro Res.,,,,,,
Borussia Dortmund,Germany,Bundesliga,518.63,31,25.0,18
Borussia Fulda,Germany,Hessenliga,,8,32.6,3
Borussia Mönchengladbach,Germany,Bundesliga,213.57,26,25.7,13
Borysfen,Ukraine,Premier Liga,,0,,
Boston River,Uruguay,Primera División Apertura,5.87,33,22.9,3
Boston United,England,National League North,,25,26.9,3
Boston Utd,England,National League North,,25,26.9,3
Botafogo,Brazil,Campeonato Carioca - Taça Guanabara,24.05,31,25.7,3
Botafogo-BA,Brazil,,,3,26.7,0
Botafogo-SP,Brazil,Campeonato Paulista - Série A1,2.07,30,25.4,2
Botev Plovdiv,Bulgaria,efbet Liga,6.98,24,24.5,11
Botev Vratsa,Bulgaria,efbet Liga,2.97,25,24.4,6
Bourg-Péronnas,France,Championnat National,5.76,25,27.4,4
Bourg-en-Bresse,France,Championnat National,5.76,25,27.4,4
Bourges,France,Championnat National 2 - Groupe D,720,30,26.9,12
Boussu Dour,,,,,,
Bouzas,Spain,Copa RFEF,270,18,26.9,4
Boyacá Chicó,Colombia,Torneo DIMAYOR I,3.31,30,24.1,2
Boyne Rovers,Ireland,,,1,34.0,0
Bozzano,Italy,,,0,,
Brackley,England,National League North,45,23,27.5,2
Bracknell,England,,,12,26.1,2
Bradford City,England,League Two,3.38,31,25.6,10
Bradford PA,England,National League North,45,27,26.3,1
Bragantino,Brazil,Campeonato Paulista - Série A1,73.10,31,23.4,5
Bragança,Portugal,Taça de Portugal Placard,,11,29.4,5
Brage,Sweden,Svenska Cupen,2.14,23,23.9,5
Braintree,England,National League South,23,21,23.9,4
Brandenburg. SC,Germany,NOFV-Oberliga Nord,,26,23.2,12
Brann,Norway,NM-Cup,6.71,30,22.9,4
Brasa,Brazil,,,1,33.0,0
Brasil-RS,Brazil,,1.13,27,25.5,0
Brasiliense FC,Brazil,Campeonato Brasiliense,698,34,29.3,0
Brasília-DF,Brazil,Campeonato Brasiliense,,29,24.7,0
Braunau,Austria,,,6,25.5,1
Bravos do Maqui,Angola,Girabola,855,29,27.3,6
Bray Academy,Ireland,,,4,20.0,0
Bray Wanderers,Ireland,SSE Airtricity League First Division,356,31,23.4,0
Breclav,Czech Republic,MOL Cup,,13,22.8,1
Brederodes,Netherlands,,,1,28.0,0
Breidablik,Iceland,Besta deild,2.35,30,22.9,3
Brentford FC,England,Premier League,197.01,25,25.6,22
Brescello Calcio,Italy,Play-out Serie C,45,7,28.0,2
Brescia Calcio,Italy,Serie B,31.68,28,25.4,13
Bridge F.C.,,,,,,
Bridgwater,England,,,4,29.0,2
Bridlington,England,,,7,29.6,2
Brigg Town,England,,,3,34.3,0
Brighton & Hove Albion,England,Premier League,215.73,23,25.4,15
Brindisi,Italy,Serie D - Girone H,653,31,22.8,5
Brisbane Roar,Australia,A-League Men,5.24,23,25.5,6
Brisbane Strikers FC,Australia,,,6,33.2,2
Bristol City,England,Championship,30.24,24,25.6,9
Bristol Rovers,England,League Two,4.19,29,25.8,10
Briton Ferry Athletic,Wales,,,0,,
Brocton FC,England,,,1,42.0,0
Brodsworth,England,,,0,,
Bromley,England,National League,540,27,26.3,3
Brommapojkarna,Sweden,Svenska Cupen,1.78,25,23.7,0
Bromsgrove,England,,9,16,25.1,0
Brown Adrogué,Argentina,Primera Nacional,3.26,26,28.2,1
Brown Bears,United States,,,3,20.0,0
Brujas FC,Costa Rica,Primera División Clausura,,0,,
Brummel Sendai,,,,,,
Brumunddal Fotball,Norway,NM-Cup,,26,25.5,0
Brunei,Brunei Darussalam,Singapore Cup,1.53,23,29.9,2
Brusaporto,Italy,Serie D - Girone B,1.05,28,21.7,0
Brusque-SC,Brazil,Campeonato Catarinense,6.03,30,27.4,0
Bryne FK,Norway,OBOS-ligaen,1.67,22,24.4,2
Bryntirion AFC,Wales,Welsh Cup,,0,,
Bröndby IF,Denmark,Superligaen,22.77,27,23.6,13
Brönshöj BK,Denmark,Sydbank Pokalen,,21,23.9,0
Bucaspor,Turkey,,2.19,28,24.4,0
Bucheon FC,"Korea, South",K League 2,6.32,32,24.8,3
Bucheon SK,"Korea, South",K League 1,12.67,35,25.3,2
Bucinese,Italy,,,3,27.0,0
Buildcon FC,Zambia,,,10,28.4,7
Bukhara,Uzbekistan,Uzbekistan Pro Liga,2.07,24,27.9,3
Bunyodkor,Uzbekistan,O'zbekiston Superligasi,3.78,24,24.5,5
Burgess Hill,England,,,16,27.7,1
Burgos CF,Spain,LaLiga2,7.20,24,28.1,1
Buriram Utd.,Thailand,AFC Champions League-Qualification,6.86,27,27.8,7
Burnley FC,England,Premier League,130.50,24,29.8,10
Bursaspor,Turkey,1.Lig,7.38,31,23.9,9
Burscough FC,England,,,15,29.0,1
Burton Albion,England,League One,5.15,29,25.0,9
Bury FC,England,,,13,29.4,3
Bury Town,England,League One,4.23,23,25.6,9
Busan I'Cons,,,,,,
Busan I'Park,"Korea, South",,,0,,
Busan i.cons,,,,,,
Bush Bucks FC,South Africa,,,0,,
Bustese,Italy,Serie D - Girone B,,6,21.2,2
Buxton,England,FA Cup,,28,29.6,4
Bytovia Bytow,Poland,Fortuna Polish Cup,,20,23.1,1
Büyüksehir Bld,,,,,,
C'dole Sapporo,,,,,,
C. Budejovice,Czech Republic,Fortuna Liga,5.69,22,25.4,9
C. Coast,Australia,,180,10,19.5,1
C. Rizespor,Turkey,Süper Lig,25.00,27,27.3,14
C.R.D. Libolo,Angola,Girabola,90,31,27.6,3
CA Aichinger,Brazil,,,1,36.0,0
CA Banfield,Argentina,Copa de la Liga Profesional de Fútbol,24.05,27,26.4,2
CA Bastia,France,Championnat National,,0,,
CA Bizertin,Tunisia,Ligue Professionnelle 1,2.93,26,23.1,3
CA Cerro,Uruguay,Segunda División Play-off,3.57,28,28.8,2
CA Colon,Argentina,Copa de la Liga Profesional de Fútbol,36.83,26,28.1,3
CA Colón,Argentina,Copa de la Liga Profesional de Fútbol,36.83,26,28.1,3
CA Fénix,Uruguay,Primera División Apertura,5.02,29,25.0,0
CA Guaçuano,Brazil,,,0,,
CA Huracán,Argentina,Copa Argentina,135,26,28.8,0
CA Juventus,Brazil,,225,23,27.7,0
CA Monzon,Spain,Copa del Rey,68,12,25.3,3
CA Osasuna Prom,Spain,Segunda División R.F.E.F. - Grupo II,2.88,23,20.7,0
CA Osasuna,Spain,LaLiga,78.84,24,27.9,4
CA River Ebro,Spain,,,6,26.8,0
CA Rosario,Argentina,Copa de la Liga Profesional de Fútbol,19.10,26,27.1,5
CA San Telmo,Argentina,Primera Nacional,1.89,28,26.8,1
CA Talleres,Argentina,Copa Argentina,41.18,33,23.8,6
CA Temperley,Argentina,Primera Nacional,2.23,21,28.1,1
CA Torque,,,,,,
CA Unión,Argentina,Copa de la Liga Profesional de Fútbol,15.17,27,24.8,5
CA Valdevez,Portugal,Taça de Portugal Placard,,5,36.0,1
CABJ,Argentina,Copa de la Liga Profesional de Fútbol,89.73,32,25.8,7
CAL Vulcans,United States,,,0,,
CC Yatai,China,Chinese Super League,8.33,34,27.4,5
CD Adra,Spain,,,2,29.5,1
CD Alcalá,Spain,Segunda División B - Grupo IV (till 20/21),,2,25.0,0
CD Alcoyano,Spain,Primera División R.F.E.F. - Grupo II,3.74,21,27.6,2
CD América,Colombia,Copa Sudamericana,13.86,35,25.2,3
CD Badajoz,Spain,Primera División R.F.E.F. - Grupo I,4.23,20,26.6,4
CD Barco,Spain,Promoción de ascenso a Segunda RFEF,315,20,27.6,2
CD Basconia,Spain,Promoción de ascenso a Segunda RFEF,,22,19.0,0
CD Baza,Spain,Segunda División B - Grupo IV (till 20/21),,0,,
CD Binefar,Spain,Promoción de ascenso a Segunda RFEF,45,17,24.9,3
CD Blades,,,,,,
CD Capiatá,Paraguay,Primera División Clausura,,19,28.3,0
CD Castellón,Spain,Primera División R.F.E.F. - Grupo II,5.13,25,27.1,4
CD Colonia Ofigevi,Spain,,,0,,
CD Costa do Sol,Mozambique,Moçambola,135,25,26.8,4
CD Cruz Azul,Mexico,Liga MX Clausura,54.95,22,28.2,9
CD Dénia,Spain,Segunda División B - Grupo III (till 20/21),23,4,27.3,1
CD El Ejido,Spain,Segunda División R.F.E.F. - Grupo V,1.91,23,25.6,7
CD El Nacional,Ecuador,LigaPro Serie A Segunda Etapa,2.05,22,26.4,0
CD Everton,Chile,Primera División de Chile,9.81,39,23.9,8
CD Feirense,Portugal,Liga Portugal 2,4.79,29,24.6,17
CD Fátima SAD,Portugal,Taça de Portugal Placard,,5,24.2,2
CD Fátima,Portugal,Taça de Portugal Placard,,5,24.2,2
CD Guadalajara,Mexico,Liga MX Clausura,48.69,24,26.2,0
CD Guijuelo,Spain,Copa del Rey,765,22,26.9,2
CD La Equidad,Colombia,Liga Dimayor I,8.37,29,26.3,4
CD Lagun Onak,Spain,Copa del Rey,495,10,25.6,1
CD Lalin,Spain,,,0,,
CD Lealtad,Spain,Segunda División B - Fase de descenso,405,16,27.1,1
CD Leganés,Spain,LaLiga2,32.85,28,27.5,8
CD Linares,Spain,Primera División R.F.E.F. - Grupo II,3.60,22,28.6,3
CD Logroñés (liq.),,,,,,
CD Lugo,Spain,LaLiga2,6.66,25,27.9,3
CD Manchego,Spain,,338,16,25.3,10
CD Mirandés,Spain,LaLiga2,17.10,25,23.7,5
CD Morón,Argentina,Primera Nacional,2.77,25,26.6,0
CD Mostoles,Spain,Segunda División R.F.E.F. - Grupo I,1.76,21,26.4,4
CD Motagua,Honduras,Liga Nacional Clausura,4.25,35,25.5,6
CD Málaga,,,,,,
CD Nacional,Portugal,Liga Portugal 2,7.34,29,26.8,14
CD Numancia,Spain,Segunda División R.F.E.F. - Grupo III,3.22,22,25.9,2
CD Onda,Spain,,,3,28.3,0
CD Ourense,Spain,Segunda División B - Grupo I (till 20/21),,0,,
CD Palestino,Chile,Primera División de Chile,8.17,30,26.3,6
CD Puertollano,Spain,Segunda División B - Grupo IV (till 20/21),,0,,
CD Roda,Spain,Promoción de ascenso a Segunda RFEF,135,20,26.3,5
CD Rota,Spain,,90,12,27.7,0
CD SM (Arica),,,,,,
CD Santa Clara,Portugal,Liga Portugal,19.64,28,26.2,17
CD Tenerife,Spain,LaLiga2,17.01,25,27.2,5
CD Teruel,Spain,Segunda División R.F.E.F. - Grupo III,1.55,21,24.4,1
CD Tiancheng,China,China League One,,0,,
CD Toledo,Spain,Segunda División R.F.E.F. - Grupo V,2.18,23,26.3,2
CD Tondela,Portugal,Liga Portugal,18.86,27,24.4,18
CD Trofense,Portugal,Liga Portugal 2,4.34,27,24.5,14
CD Tudelano,Spain,Primera División R.F.E.F. - Grupo I,2.16,21,26.0,10
CD Vitoria,Spain,Promoción de ascenso a Segunda RFEF,45,22,21.5,3
CDUC,Chile,Primera División de Chile,18.74,35,26.1,9
CE L’Hospitalet,Spain,,,1,18.0,0
CE Sabadell,Spain,Primera División R.F.E.F. - Grupo II,5.18,26,26.5,3
CF Badalona,Spain,Segunda División R.F.E.F. - Grupo III,2.05,22,27.6,1
CF Balaguer,Spain,,,2,27.0,0
CF Belenenses,Portugal,,,3,18.3,0
CF Braila,,,,,,
CF Estrela Amadora SAD,Portugal,Liga Portugal 2,4.66,28,24.8,9
CF Extremadura (diss.),,,,,,
CF Fuenlabrada,Spain,LaLiga2,13.23,25,26.8,8
CF Gandía,Spain,Segunda División B - Grupo III (till 20/21),,7,28.2,2
CF Gavà,Spain,Segunda División B - Grupo III (till 20/21),,6,25.2,0
CF Mounana,Gabon,CAF Confederation Cup,,16,28.7,2
CF Pachuca,Mexico,Liga MX Clausura,36.27,24,26.3,9
CF Peralada,Spain,Segunda División B - Grupo III (till 20/21),180,17,27.2,1
CF União Madeira,Portugal,,,2,21.5,0
CFR Cluj,Romania,Liga 1 - Championship group,28.92,36,26.2,15
CO Montijo,Portugal,Taça de Portugal Placard,,15,24.1,2
CP Baltimore,United States,North American Soccer League (2011 - 2012),,0,,
CP Mérida (diss.),,,,,,
CPR Ospitaletto,Italy,Play-off/out Lega Pro 2a Divisione,,17,26.8,1
CQ Dangdai Lif.,,,,,,
CQ Lifan,,,,,,
CR Al Hoceima,Morocco,Botola Pro Inwi,45,10,32.6,2
CR Belouizdad,Algeria,CAF-Champions League,10.53,33,25.9,2
CRAC (GO),,,,,,
CRB,Algeria,CAF-Champions League,10.53,33,25.9,2
CRFSO Smolensk,,,,,,
CS Buftea,,,,,,
CS Chênois,Switzerland,1. Liga group 1,23,28,22.4,15
CS Emelec,Ecuador,LigaPro Serie A Primera Etapa,16.94,29,27.6,6
CS Esportiva,Brazil,Campeonato Alagoano,360,35,25.8,0
CS Lebowski,Italy,,23,5,30.8,2
CS Marítimo,Portugal,Liga Portugal,13.91,25,26.0,16
CS Mioveni,Romania,Liga 1 - Relegation group,5.01,31,26.6,5
CS Msaken,Tunisia,Tunisian Cup,158,13,29.5,1
CS Otopeni,Romania,Liga 2,,0,,
CS San Lorenzo,Paraguay,Primera División Clausura,,12,28.7,0
CS Sedan-Ardennes,France,Championnat National,4.73,24,27.9,4
CS Sergipe-SE,Brazil,Campeonato Sergipano,45,28,27.4,0
CS Sfaxien,Tunisia,Ligue Professionnelle 1,7.45,28,24.4,8
CS Visé,Belgium,,,0,,
CSA,France,Ligue 1,85.86,24,26.0,9
CSD del Valle,Ecuador,,,1,26.0,0
CSK Bamako,Mali,,,6,27.0,0
CSKA Moscow,Russia,Premier Liga,94.28,22,25.4,9
CSKA Sofia,Bulgaria,efbet Liga,13.80,26,25.0,18
CSKA-Sofia,Bulgaria,efbet Liga,13.80,26,25.0,18
CSM Ceahlaul,Romania,Cupa României,527,16,24.4,4
CSMS Iași,,,,,,
